name,description,era,what_happened,question_variations
"Pastoral Clothing","Use of animal products for clothing","6,000 – 3,000 BC","• Made garments from hides, wool, and skins|• Provided warmth and protection|• Sewn using bone needles and sinew","What did Shepherd Age humans wear?|Explain clothing made from livestock|Tell me about pastoral garments"
"Pastoral Tools for Hunting","Hunting animals to supplement herding diet","6,000 – 3,000 BC","• Spears, bows, and traps used for wild animals|• Supported food supply|• Integrated with herd protection","What hunting tools did Shepherd Age humans use?|Explain pastoral hunting methods|Tell me about early hunting"
"Early Trade Networks","Exchange between pastoral and other communities","5,500 – 3,000 BC","• Herded animals traded for grains, tools, and ornaments|• Established inter-community relations|• Helped spread pastoral practices","What were Shepherd Age trade networks?|Explain pastoral commerce|Tell me about early trade"
"Pastoral Cultural Practices","Rituals and social customs of herders","6,000 – 3,000 BC","• Celebrated seasonal migrations|• Performed rituals for herd fertility|• Created early songs and art reflecting pastoral life","What were Shepherd Age cultural practices?|Explain pastoral rituals|Tell me about herders' customs"
"Early Shepherd Settlements","Temporary villages supporting herding","6,000 – 3,000 BC","• Small huts near grazing lands|• Communities moved with livestock|• Shared resources and labor for survival","What were early Shepherd Age settlements?|Explain pastoral villages|Tell me about herders' homes"
"Introduction of Farming","Transition from hunting-gathering to agriculture","4,000 – 2,000 BC","• Early humans started cultivating millet, yams, and rice|• Settled near rivers and fertile lands|• Allowed permanent villages","When did farming start in Sri Lanka?|Explain early agriculture|What crops did ancient farmers grow?"
"Irrigation Beginnings","Early water management for farming","3,500 – 2,000 BC","• Dug small channels and ponds to water fields|• Supported rice cultivation|• Reduced dependence on rainfall","What is irrigation in Farmer Age?|Explain early water management|Tell me about ancient irrigation systems"
"Early Rice Cultivation","Start of paddy farming in dry and wet zones","3,000 – 2,000 BC","• Planted rice in seasonal wetlands|• Learned transplanting techniques|• Increased food supply for communities","When did rice farming start in Sri Lanka?|Explain early rice cultivation|Tell me about Farmer Age crops"
"Village Farming Settlements","Permanent villages for agricultural communities","4,000 – 2,000 BC","• Constructed mud huts and storage areas|• Settled near water sources|• Social organization around farming activities","What were Farmer Age settlements?|Explain early farming villages|Tell me about agricultural communities"
"Domestication of Animals for Farming","Using animals for agriculture and food","4,000 – 2,000 BC","• Oxen and buffalo used for plowing|• Cattle, goats, and pigs raised for meat and milk|• Enabled larger-scale farming","Which animals were domesticated for farming?|Explain pastoral-agriculture transition|Tell me about Farmer Age animals"
"Terrace Farming","Farming on hilly terrain","3,000 – 1,000 BC","• Built terraces to reduce soil erosion|• Allowed cultivation on slopes|• Optimized water usage","What is terrace farming?|Explain ancient farming techniques|Tell me about hillside agriculture"
"Tank Construction for Agriculture","Reservoirs to irrigate fields","3,000 – 1,000 BC","• Built small tanks and ponds|• Collected rainwater and diverted streams|• Supported rice paddies","What are Farmer Age tanks?|Explain ancient reservoirs|Tell me about irrigation tanks"
"Plowing Techniques","Early farming tools and methods","3,500 – 2,000 BC","• Wooden plows pulled by oxen|• Prepared soil for planting|• Improved crop yield","What were early plowing techniques?|Explain Farmer Age tools|Tell me about ancient agriculture tools"
"Crop Rotation","Maintaining soil fertility","3,000 – 1,500 BC","• Alternated crops like legumes and cereals|• Reduced soil exhaustion|• Increased food security","What is crop rotation?|Explain ancient soil management|Tell me about early farming practices"
"Storage of Crops","Preserving harvests for future use","3,000 – 1,500 BC","• Built granaries and storage pits|• Protected seeds from pests and moisture|• Allowed stable food supply","How did Farmer Age humans store crops?|Explain ancient granaries|Tell me about crop storage techniques"
"Tools for Agriculture","Stone and wooden implements for farming","4,000 – 2,000 BC","• Axes, sickles, and hoes used for land preparation|• Supported planting and harvesting|• Developed gradually over time","What tools did Farmer Age humans use?|Explain early farming implements|Tell me about agricultural tools"
"Domestic Plant Varieties","Cultivated crops for food and trade","4,000 – 2,000 BC","• Grew rice, millet, yams, beans, and gourds|• Selected seeds for better yield|• Spread cultivation across regions","What crops did Farmer Age humans grow?|Explain early plant domestication|Tell me about ancient agriculture"
"Early Fertilization","Enhancing soil fertility","3,000 – 1,500 BC","• Used animal manure and ash|• Improved soil productivity|• Supported sustainable agriculture","What is early fertilization?|Explain Farmer Age soil practices|Tell me about crop enrichment"
"Community Farming","Cooperative agricultural activities","4,000 – 2,000 BC","• Villagers shared labor for planting and harvesting|• Developed irrigation systems collectively|• Strengthened social bonds","What is community farming?|Explain cooperative agriculture|Tell me about Farmer Age village work"
"Rice Paddies Expansion","Large-scale wetland cultivation","3,000 – 1,000 BC","• Expanded fields near rivers and tanks|• Required coordinated irrigation|• Increased food production","When did rice paddies expand in Sri Lanka?|Explain ancient paddy fields|Tell me about Farmer Age agriculture"
"Animal Husbandry for Farming","Supporting crops with livestock","4,000 – 2,000 BC","• Oxen and buffalo used for plowing and transport|• Goats and cattle provided milk and meat|• Complemented crop cultivation","How was animal husbandry used in farming?|Explain Farmer Age livestock|Tell me about pastoral-agriculture practices"
"Village Organization","Structured communities around agriculture","4,000 – 2,000 BC","• Centralized water management|• Divided land into plots|• Coordinated planting and harvest schedules","How were Farmer Age villages organized?|Explain agricultural communities|Tell me about ancient village planning"
"Flood Management","Preventing damage to crops","3,000 – 1,500 BC","• Built embankments and diversion channels|• Controlled river overflow|• Protected paddy fields","What was flood management in Farmer Age?|Explain early irrigation protection|Tell me about crop safety techniques"
"Harvesting Methods","Collecting crops efficiently","3,000 – 1,500 BC","• Used sickles and knives for rice and millet|• Gathered grains systematically|• Stored crops in granaries","What were harvesting methods in Farmer Age?|Explain ancient crop collection|Tell me about harvesting techniques"
"Rituals for Fertility and Harvest","Cultural practices supporting agriculture","4,000 – 2,000 BC","• Performed ceremonies to bless crops|• Used offerings and prayers for good yield|• Strengthened community cohesion","What were Farmer Age agricultural rituals?|Explain fertility and harvest ceremonies|Tell me about ancient crop rituals"
"Balangoda Man Fossils","Remains of prehistoric humans found in Sri Lanka","38,000 – 4,000 BC","• Skeletons and teeth of Balangoda Man discovered in caves|• Evidence of hunter-gatherer lifestyle|• Showed physical adaptation and tool use","Who was Balangoda Man?|Explain Balangoda Man fossils|Tell me about prehistoric humans in Sri Lanka"
"Homo Erectus Remains","Fossils of early human-like species","500,000 – 125,000 BC","• Bones and skull fragments discovered in Pahiyangala|• Provided insight into early human migration|• Used simple stone tools","What are Homo erectus remains?|Explain early humans in Sri Lanka|Who were Homo erectus?"
"Fa-Hien Cave Artifacts","Stone and bone tools from cave excavations","38,000 – 4,000 BC","• Tools for hunting, cutting, and skinning|• Evidence of artistic expression through carvings|• Showed early human ingenuity","What artifacts were found in Fa-Hien Cave?|Explain Stone Age findings|Tell me about prehistoric tools"
"Batadombalena Fossils","Human and animal remains in rock shelters","28,000 – 5,000 BC","• Fossilized bones and teeth discovered|• Indicated diet and hunting practices|• Used fire for cooking","What fossils were found in Batadombalena?|Explain Batadombalena discoveries|Tell me about prehistoric remains"
"Stone Tools","Microliths and flaked implements","10,000 – 4,000 BC","• Used for cutting, hunting, and woodworking|• Made from quartz and chert|• Show evolution of tool-making skills","What are Stone Age tools?|Explain prehistoric tools|Tell me about microliths"
"Bone Needles","Tools made from animal bones","10,000 – 4,000 BC","• Used for sewing hides and clothing|• Evidence of advanced craftsmanship|• Indicated early clothing production","What are bone needles?|Explain prehistoric sewing tools|Tell me about Stone Age bone tools"
"Shell Ornaments","Necklaces and bracelets made from shells","10,000 – 4,000 BC","• Found in coastal and cave sites|• Evidence of cultural and aesthetic expression|• Early jewelry and trade items","What are shell ornaments?|Explain prehistoric jewelry|Tell me about ancient shell artifacts"
"Rock Carvings","Engravings on stone surfaces","38,000 – 4,000 BC","• Depicted animals, humans, and hunting scenes|• Found in Fa-Hien and Batadombalena caves|• Reflect spiritual and cultural beliefs","What are rock carvings?|Explain prehistoric engravings|Tell me about Stone Age art"
"Cave Paintings","Early artistic expressions on cave walls","38,000 – 4,000 BC","• Painted depictions of hunting and daily life|• Used natural pigments|• Provided insight into culture and beliefs","What are cave paintings?|Explain Stone Age art|Tell me about prehistoric paintings"
"Pottery Fragments","Ceramic pieces from early settlements","4,000 – 2,000 BC","• Found in Farmer Age villages|• Used for storage, cooking, and rituals|• Showed technological advancement","What are pottery fragments?|Explain ancient ceramics|Tell me about prehistoric pottery"
"Grinding Stones","Tools used to process grains and seeds","4,000 – 2,000 BC","• Used for grinding rice, millet, and other seeds|• Found in agricultural sites|• Indicated early farming practices","What are grinding stones?|Explain ancient food processing tools|Tell me about Stone Age artifacts"
"Arrowheads","Stone or bone tips for hunting weapons","10,000 – 4,000 BC","• Used in hunting and defense|• Found in caves and rock shelters|• Showed precision craftsmanship","What are arrowheads?|Explain prehistoric hunting tools|Tell me about Stone Age weapons"
"Sickles","Tools for harvesting crops","4,000 – 2,000 BC","• Made from stone or early metal|• Used in Farmer Age rice cultivation|• Increased efficiency of harvesting","What are sickles?|Explain early farming tools|Tell me about ancient agricultural implements"
"Fishing Hooks","Bone or shell hooks for catching fish","10,000 – 4,000 BC","• Used in rivers, lakes, and coastal areas|• Indicated diet diversity|• Evidence of advanced tool-making","What are fishing hooks?|Explain prehistoric fishing tools|Tell me about Stone Age fishing"
"Animal Figurines","Small carved representations of animals","4,000 – 2,000 BC","• Made from clay, bone, or stone|• Likely used for ritual or educational purposes|• Show early symbolic thinking","What are animal figurines?|Explain prehistoric carvings|Tell me about ancient artifacts"
"Grinding Mortars","Large stone bowls for processing food","4,000 – 2,000 BC","• Used to crush grains, seeds, and herbs|• Found in Farmer Age sites|• Indicated communal food preparation","What are grinding mortars?|Explain ancient food processing|Tell me about prehistoric tools"
"Decorated Pottery","Ornamental ceramic vessels","4,000 – 2,000 BC","• Painted or engraved designs|• Likely used for storage or rituals|• Showed artistic skills of ancient farmers","What is decorated pottery?|Explain ancient ceramic art|Tell me about prehistoric pottery"
"Burial Goods","Items found with human remains","38,000 – 4,000 BC","• Included beads, shells, tools, and ornaments|• Indicated spiritual beliefs|• Provided insight into social structure","What are burial goods?|Explain prehistoric grave items|Tell me about ancient rituals"
"Stone Axes","Heavy stone tools for cutting and shaping","10,000 – 4,000 BC","• Used for chopping wood, building, and defense|• Found in caves and settlements|• Demonstrated advanced tool-making","What are stone axes?|Explain prehistoric cutting tools|Tell me about Stone Age implements"
"Grinding Slabs","Flat stones used with hand-held grinders","4,000 – 2,000 BC","• Processed grains, seeds, and spices|• Evidence of early food preparation techniques|• Found in Farmer Age settlements","What are grinding slabs?|Explain ancient food processing tools|Tell me about prehistoric agriculture"
"Fa-Hien Cave Paintings","Prehistoric paintings found in Fa-Hien Cave, southwestern Sri Lanka","38,000 – 4,000 BC","• Depict animals, humans, and hunting scenes|• Created using natural pigments on rock surfaces|• Found in Fa-Hien Cave near Wavulgalge","What are Fa-Hien Cave paintings?|Explain prehistoric art in Fa-Hien Cave|Tell me about Stone Age rock art"
"Batadombalena Rock Art","Stone Age carvings and drawings in Batadombalena","28,000 – 5,000 BC","• Show animals like elephants and leopards|• Likely ritualistic or symbolic in meaning|• Located in Batadombalena caves, Kuruwita","What is Batadombalena rock art?|Explain prehistoric carvings in Sri Lanka|Tell me about Batadombalena cave art"
"Kitulgala Cave Paintings","Ancient drawings depicting hunting scenes in Kitulgala","25,000 – 4,000 BC","• Found in caves near Kitulgala in southwestern Sri Lanka|• Show human figures with spears|• Provides insight into early hunting culture","What are Kitulgala Cave paintings?|Explain prehistoric drawings in Sri Lanka|Tell me about Stone Age art"
"Belilena Cave Drawings","Mesolithic art from Belilena, Kuruwita","28,000 – 4,000 BC","• Depict human activities and animals|• Painted with red ochre and charcoal|• Located in Belilena cave near Kitulgala","What are Belilena Cave drawings?|Explain prehistoric art in Belilena|Tell me about Mesolithic paintings"
"Lenadora Rock Engravings","Stone engravings in Lenadora caves","20,000 – 4,000 BC","• Carvings show animals and hunting tools|• Found in Lenadora caves, southern Sri Lanka|• Indicate early symbolic thinking","What are Lenadora rock engravings?|Explain prehistoric carvings in Sri Lanka|Tell me about Lenadora artifacts"
"Pahiyangala Cave Art","Art depicting daily life in Pahiyangala","50,000 – 10,000 BC","• Human and animal figures carved into rock|• Located in Pahiyangala, Kurunegala District|• Provides evidence of cultural life of early humans","What is Pahiyangala cave art?|Explain prehistoric carvings in Pahiyangala|Tell me about early human art"
"Batadomba Cave Paintings","Stone Age paintings in Batadomba area","28,000 – 5,000 BC","• Depict hunting and social activities|• Found in Batadomba caves, Ratnapura District|• Shows early symbolic expression","What are Batadomba Cave paintings?|Explain prehistoric art in Batadomba|Tell me about Mesolithic paintings"
"Balangoda Cave Rock Art","Engravings by Balangoda Man in caves","38,000 – 4,000 BC","• Found in caves near Kitulgala and Kuruwita|• Depict animals, humans, and geometric patterns|• Provide insight into daily life and spiritual beliefs","What is Balangoda Cave rock art?|Explain Balangoda Man engravings|Tell me about prehistoric rock art"
"Kalubowila Cave Drawings","Ancient art in Kalubowila rock shelters","20,000 – 5,000 BC","• Depict hunting scenes and animals|• Located near Kalubowila, western Sri Lanka|• Painted using natural pigments","What are Kalubowila Cave drawings?|Explain prehistoric rock art in Kalubowila|Tell me about Stone Age paintings"
"Beligala Cave Art","Mesolithic paintings and carvings in Beligala","28,000 – 4,000 BC","• Shows humans hunting, dancing, and performing rituals|• Found in Beligala caves, Kuruwita|• Reflects social and cultural life","What is Beligala Cave art?|Explain prehistoric art in Beligala|Tell me about Mesolithic paintings"
"Hiripitiya Rock Carvings","Stone engravings in Hiripitiya","25,000 – 4,000 BC","• Carvings of animals and human activities|• Located in Hiripitiya area, Ratnapura District|• Used for symbolic and ritualistic purposes","What are Hiripitiya rock carvings?|Explain prehistoric engravings in Hiripitiya|Tell me about ancient art"
"Gal Bandiya Cave Paintings","Paintings showing hunting and animals in Gal Bandiya","28,000 – 4,000 BC","• Found in Gal Bandiya caves, southern Sri Lanka|• Depict daily life and animals|• Likely symbolic or ritualistic in nature","What are Gal Bandiya Cave paintings?|Explain prehistoric art in Gal Bandiya|Tell me about Stone Age paintings"
"Kadigamuwa Rock Art","Ancient drawings in Kadigamuwa caves","25,000 – 4,000 BC","• Human and animal figures depicted on rocks|• Located in Kadigamuwa, Kegalle District|• Reflects early human culture","What is Kadigamuwa rock art?|Explain prehistoric drawings in Kadigamuwa|Tell me about cave art in Sri Lanka"
"Alugalge Cave Paintings","Stone Age art found in Alugalge caves","28,000 – 5,000 BC","• Paintings of hunting scenes and animals|• Located in Alugalge, Kurunegala District|• Indicative of Mesolithic lifestyle","What are Alugalge Cave paintings?|Explain prehistoric art in Alugalge|Tell me about Stone Age drawings"
"Bataketiya Cave Art","Ancient engravings and paintings in Bataketiya","28,000 – 4,000 BC","• Depict animals and human figures|• Found in Bataketiya caves, Ratnapura District|• Show early cultural expressions","What is Bataketiya Cave art?|Explain prehistoric paintings in Bataketiya|Tell me about ancient rock art"
"Kuruwita Cave Paintings","Mesolithic art in Kuruwita region","28,000 – 4,000 BC","• Painted images of animals and hunting scenes|• Located near Kuruwita, Sabaragamuwa Province|• Provides insight into early human life","What are Kuruwita Cave paintings?|Explain prehistoric art in Kuruwita|Tell me about Stone Age paintings"
"Batadombu Rock Carvings","Rock engravings in Batadombu caves","28,000 – 5,000 BC","• Human, animal, and geometric carvings|• Located near Kuruwita, Ratnapura District|• Likely had symbolic meaning","What are Batadombu rock carvings?|Explain prehistoric engravings in Batadombu|Tell me about ancient rock art"
"Fa-Hien Cave Engravings","Engraved rock art in Fa-Hien Cave","38,000 – 4,000 BC","• Depict hunting, human figures, and animals|• Found in Fa-Hien Cave near Wavulgalge|• Reflects symbolic and spiritual beliefs","What are Fa-Hien Cave engravings?|Explain prehistoric carvings in Fa-Hien|Tell me about Stone Age art"
"Batadombalena Painted Rocks","Cave paintings by Balangoda Man","28,000 – 5,000 BC","• Depict human, animal, and hunting scenes|• Located in Batadombalena caves, Kuruwita|• Shows cultural and ritual significance","What are Batadombalena painted rocks?|Explain prehistoric art in Batadombalena|Tell me about Stone Age paintings"
"Lenadora Cave Paintings","Ancient rock paintings in Lenadora","20,000 – 4,000 BC","• Depict animals, humans, and symbolic patterns|• Found in Lenadora caves, southern Sri Lanka|• Reflect Mesolithic lifestyle and beliefs","What are Lenadora Cave paintings?|Explain prehistoric rock art in Lenadora|Tell me about ancient cave paintings"
"Fa-Hien Cave","Cave in southwestern Sri Lanka, known for Stone Age human fossils and paintings","38,000 – 4,000 BC","• Provided shelter for prehistoric humans|• Contains Balangoda Man fossils and rock paintings|• Evidence of early tool use and symbolic art","What is Fa-Hien Cave?|Explain Fa-Hien Cave fossils and art|Tell me about Stone Age caves"
"Batadombalena","Rock shelter in Kuruwita, Ratnapura District","28,000 – 5,000 BC","• Important site for Balangoda Man remains|• Contains paintings and stone tools|• Shows Mesolithic human lifestyle","What is Batadombalena?|Explain Batadombalena discoveries|Tell me about Stone Age shelters"
"Belilena","Cave near Kitulgala, Sabaragamuwa Province","28,000 – 4,000 BC","• Archaeological site with human fossils|• Rock art depicting hunting and animals|• Evidence of seasonal habitation","What is Belilena Cave?|Explain prehistoric discoveries in Belilena|Tell me about Stone Age sites"
"Pahiyangala","Rocky cave complex in Kurunegala District","50,000 – 10,000 BC","• Early human fossils discovered|• Stone tools and remains of animals|• Important for studying human migration","What is Pahiyangala?|Explain Stone Age fossils in Pahiyangala|Tell me about prehistoric Sri Lanka"
"Lenadora Caves","Caves in southern Sri Lanka","20,000 – 4,000 BC","• Rock engravings of animals and humans|• Evidence of symbolic and ritualistic practices|• Archaeological findings of tools","What are Lenadora Caves?|Explain prehistoric art in Lenadora|Tell me about Stone Age engravings"
"Fa-Hien Cave Water Source","Natural water pools near Fa-Hien Cave","38,000 – 4,000 BC","• Provided water for human habitation|• Supported hunter-gatherer lifestyle|• Nearby hunting grounds","What is special about Fa-Hien Cave water source?|Explain Stone Age water sites|Tell me about prehistoric shelter resources"
"Batadomba River Site","Area around Batadomba caves, Ratnapura","28,000 – 5,000 BC","• Provided fish and water|• Supported seasonal settlements|• Site for tool-making activities","What is Batadomba River site?|Explain Stone Age river settlements|Tell me about hunting and fishing sites"
"Kitulgala Cave","Caves near Kelani River","25,000 – 4,000 BC","• Shelter for early humans|• Paintings and carvings found|• Access to river for food and water","What is Kitulgala Cave?|Explain Stone Age shelter sites|Tell me about prehistoric Sri Lanka"
"Kalubowila Rock Shelter","Shelter near western Sri Lanka coast","20,000 – 5,000 BC","• Prehistoric paintings and artifacts|• Shows hunting and gathering activities|• Seasonal habitation","What is Kalubowila Rock Shelter?|Explain Stone Age discoveries|Tell me about prehistoric shelters"
"Beligala Caves","Rock shelter in Kuruwita, Ratnapura","28,000 – 4,000 BC","• Paintings and carvings of humans and animals|• Evidence of Mesolithic cultural practices","What are Beligala Caves?|Explain Stone Age cultural sites|Tell me about prehistoric shelters"
"Balangoda Cave Sites","Caves around Kitulgala and Kuruwita","38,000 – 4,000 BC","• Human fossils found (Balangoda Man)|• Stone tools and ornaments|• Rock art representing hunting and rituals","What are Balangoda Cave Sites?|Explain Stone Age human fossils|Tell me about prehistoric culture"
"Hiripitiya Rocks","Rocky area in Ratnapura District","25,000 – 4,000 BC","• Stone carvings of animals and humans|• Evidence of early symbolic expression","What are Hiripitiya Rocks?|Explain prehistoric rock carvings|Tell me about Stone Age art sites"
"Gal Bandiya Caves","Southern Sri Lanka","28,000 – 4,000 BC","• Rock paintings of animals and humans|• Archaeological tools found|• Indicates hunting practices","What are Gal Bandiya Caves?|Explain Stone Age art sites|Tell me about prehistoric caves"
"Kadigamuwa Caves","Caves in Kegalle District","25,000 – 4,000 BC","• Paintings of animals and humans|• Used for seasonal shelter|• Evidence of Mesolithic life","What are Kadigamuwa Caves?|Explain Stone Age discoveries|Tell me about prehistoric shelters"
"Alugalge Cave","Kurunegala District","28,000 – 5,000 BC","• Paintings of hunting and animals|• Shelter for early humans|• Archaeological artifacts found","What is Alugalge Cave?|Explain Stone Age art|Tell me about prehistoric shelters"
"Bataketiya Caves","Ratnapura District","28,000 – 4,000 BC","• Engravings and paintings|• Evidence of symbolic behavior|• Seasonal shelter site","What are Bataketiya Caves?|Explain prehistoric engravings|Tell me about Stone Age sites"
"Kuruwita Cave","Caves near Kuruwita, Sabaragamuwa Province","28,000 – 4,000 BC","• Paintings of humans and animals|• Evidence of cultural and social practices|• Seasonal shelter","What is Kuruwita Cave?|Explain Stone Age art in Kuruwita|Tell me about prehistoric shelters"
"Batadombu Caves","Near Kuruwita, Ratnapura District","28,000 – 5,000 BC","• Rock carvings and paintings|• Early human occupation|• Symbolic and ritualistic use","What are Batadombu Caves?|Explain Stone Age rock carvings|Tell me about prehistoric sites"
"Fa-Hien Cave Rock Art","Near Wavulgalge, southwestern Sri Lanka","38,000 – 4,000 BC","• Hunting and animal paintings|• Shelter for Balangoda Man|• Stone tools and ornaments discovered","What is Fa-Hien Cave rock art?|Explain prehistoric art in Fa-Hien|Tell me about Stone Age paintings"
"Lenadora Painted Rocks","Southern Sri Lanka","20,000 – 4,000 BC","• Animal and human paintings|• Evidence of Mesolithic culture|• Early tool findings","What are Lenadora Painted Rocks?|Explain Stone Age paintings in Lenadora|Tell me about prehistoric art"
"Arrival of Buddhism","Buddhism was introduced to Sri Lanka by Arahat Mahinda, son of Emperor Ashoka, who met King Devanampiyatissa at Mihintale.","247 BC","• Arahat Mahinda arrived from India|• Met King Devanampiyatissa at Mihintale|• King converted to Buddhism|• Buddhism declared state religion|• Marked beginning of Buddhist civilization in Sri Lanka","Who brought Buddhism to Sri Lanka?|How did Buddhism come to Sri Lanka?|Tell me about Mihintale|Who was Arahat Mahinda?|When did Buddhism arrive in Sri Lanka?|What happened at Mihintale?"
"King Kassapa I","King Kassapa I built the famous Sigiriya rock fortress after killing his father King Dhatusena and seizing the throne.","473-495 AD","• Son of King Dhatusena|• Killed his father to seize throne|• Built Sigiriya fortress on massive rock|• Created famous frescoes and water gardens|• Defeated by his brother Moggallana I","Who was King Kassapa?|Who built Sigiriya?|Tell me about Kassapa I|Who constructed Sigiriya fortress?|Story of King Kassapa|Why was Sigiriya built?"
